monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1478344277026
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1478344301811
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1478344439358
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1478344482181
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1478344485354
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.import",1479964834877
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1479964844349
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1479964872574
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ContentOutline,org.eclipse.php.perspective,"view",1479965083388
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1479965099072
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1479965101911
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1479965117465
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1479965120936
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.window.preferences",1479965149771
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1479965161373
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.perspectives.showPerspective",1479965232801
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.DebugPerspective",1479965232801
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.perspectives.showPerspective",1479965238609
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.perspective",1479965238609
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1479965263768
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1479965312297
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1479965318809
org.zend.contentAssistMonitor,$username,false,$username,"6142",1479965347492
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1479965458041
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1479965466866
org.zend.contentAssistMonitor,$username,false,$u,"1070",1479965542203
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1479965565335
