monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.import",1477614571113
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477614685602
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1477614685726
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477615359966
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477615368483
org.zend.contentAssistMonitor,div,false,,"5569",1477615472223
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.text.smartEnter",1477615504219
org.zend.contentAssistMonitor,form,false,,"2215",1477615521270
org.zend.contentAssistMonitor,table,false,,"3073",1477615626133
org.zend.contentAssistMonitor,th,false,,"3026",1477615729389
org.zend.contentAssistMonitor,label,false,,"2854",1477615766439
org.zend.contentAssistMonitor,input,false,,"3978",1477615827139
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477615951065
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477615953780
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477615955309
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477615961159
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616041077
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616043792
org.zend.contentAssistMonitor,tr,false,,"1794",1477616104039
org.zend.contentAssistMonitor,td,false,,"2948",1477616120263
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616147563
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616148873
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616192553
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616198357
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477616223098
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616279539
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616282924
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616298134
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616303532
org.zend.contentAssistMonitor,$_GET,false,$_,"7051",1477616331986
org.zend.contentAssistMonitor,$_GET,false,$_,"1404",1477616364731
org.zend.contentAssistMonitor,$_POST,false,$_,"2418",1477616449314
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616538608
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616539716
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616541510
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.copy",1477616552336
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616555409
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477616556782
org.zend.contentAssistMonitor,safeHandle($data) - public_function.php,false,safeHandle($,"9173",1477616789004
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.views.ProblemView,org.eclipse.php.perspective,"view",1477616886473
